transactionItemId,transactionId,itemName,outQuantity ,inQuantity ,inDate,Last Update
txnitem300925133156,txn300925132923,FBDTCG180,2,,,30/09/2025 13:33
txnitem300925133203,txn300925132923,FS356T,2,,,30/09/2025 13:32
txnitem300925133213,txn300925132923,FS300,2,,,30/09/2025 13:32
txnitem300925133224,txn300925132923,FS200,2,,,30/09/2025 13:32
txnitem300925133304,txn300925132923,FBC68,1,,,30/09/2025 13:33
txnitem011025095507,txn011025215628,FBC2017,24,,,01/10/2025 21:56
txnitem011025131929,txn011025131912,FBC277,4,,,01/10/2025 13:19
txnitem011025131942,txn011025131912,FBC271,1,,,01/10/2025 13:19
txnitem011025131949,txn011025131912,FBC272,1,,,01/10/2025 13:19
txnitem011025220740,txn011025131912,FBC286,1,,,01/10/2025 22:07
txnitem021025145451,txn021025145444,FBC262,25,,,02/10/2025 14:54
txnitem021025145519,txn021025145444,FBC89,24,,,02/10/2025 14:55
txnitem021025145527,txn021025145444,FBC167,5,,,02/10/2025 14:55
txnitem021025145557,txn021025145444,FBC166,5,,,02/10/2025 14:55
txnitem021025145607,txn021025145444,FBC132,3,,,02/10/2025 14:56
txnitem021025145627,txn021025145444,FBC112,1,,,02/10/2025 14:56
txnitem021025145640,txn021025145444,FBC247,1,,,02/10/2025 14:56
txnitem021025145704,txn021025145444,FBC88,6,,,02/10/2025 14:57
txnitem021025145908,txn021025145444,FBC294,3,,,02/10/2025 14:59
txnitem021025150043,txn021025145444,FBC295,1,,,02/10/2025 15:00
txnitem021025150735,txn021025145444,FBC297,1,,,02/10/2025 15:07
txnitem021025150830,txn021025145444,FBC228,8,,,02/10/2025 15:08
txnitem021025151204,txn021025145444,FBC298,2,,,02/10/2025 15:12
txnitem021025151214,txn021025145444,FBC299,2,,,02/10/2025 15:12
txnitem031025070415,txn031025070406,40011205,2,,,03/10/2025 7:04
txnitem031025070439,txn031025070406,FBC208,1,,,03/10/2025 7:04
txnitem031025070456,txn031025070406,FBC207,1,,,03/10/2025 7:04
txnitem031025130932,txn031025130918,FBC67,1,,,03/10/2025 13:09
txnitem031025130940,txn031025130918,BG56,1,,,03/10/2025 13:09
txnitem031025130956,txn031025130918,ELS400GP,1,,,03/10/2025 13:09
txnitem031025131004,txn031025130918,YH1230F,1,,,08/10/2025 8:26
txnitem150925173124,txn150925143819,FBC173,1,,,04/10/2025 22:36
txnitem051025103858,txn051025103908,STXH2000,1,,,05/10/2025 11:10
txnitem260925110950,txn260925091548,FBC110,1,,,05/10/2025 11:09
txnitem071025113949,txn071025113920,FBC114,3,,,07/10/2025 11:39
txnitem071025113958,txn071025113920,FBC296,1,,,07/10/2025 11:39
txnitem260925121104,txn260925113158,FBC251,0,,,26/09/2025
txnitem081025075952,txn081025075924,S100HGSBU,2,,,08/10/2025 7:59
txnitem081025080024,txn081025080010,TE2000AVR,1,,,08/10/2025 8:00
txnitem081025082438,txn081025080010,TJQ25102,1,,,08/10/2025 8:24
txnitem081025082455,txn081025080010,FBC67,1,,,08/10/2025 8:24
txnitem081025082504,txn081025080010,YH1230F,1,,,08/10/2025 8:25
txnitem081025093749,txn081025093738,U354,1,,,08/10/2025 9:37
txnitem081025093800,txn081025093738,M18GG,1,,,08/10/2025 9:38
txnitem081025093809,txn081025093738,FBC94,1,,,08/10/2025 9:38
txnitem081025093841,txn081025093738,FBC275,1,,,08/10/2025 9:38
txnitem081025105120,txn081025080010,FBC296,2,,,08/10/2025 10:51
